"ISSN","TITULO","ESTRATO","ISSN_temp","Print_ISSN","E_ISSN"
"2237-5953","(RE) PENSANDO DIREITO","B4","22375953",NA,NA
"2469-4312","[IN] TRANSITION","B2","24694312",NA,NA
"1981-030X","19&20 (RIO DE JANEIRO)","B1","1981030X",NA,NA
"2053-1583","2D MATERIALS","A2","20531583",NA,"20531583"
"2237-8758","2º SIMPÓSIO INTERNACIONAL DE ENSINO DE LÍNGUA PORTUGUESA","B1","22378758",NA,NA
"2190-5738","3 BIOTECH","A4","21905738","2190572X","21905738"
"2329-7662","3D PRINTING AND ADDITIVE MANUFACTURING","A2","23297662","23297662","23297670"
"2329-7670","3D PRINTING AND ADDITIVE MANUFACTURING (ONLINE)","A2","23297670","23297662","23297670"
"1619-4500","4OR (BERLIN)","A2","16194500","16194500","16142411"
"1808-1142","5% ARQUITETURA + ARTE","A4","18081142",NA,NA
"2525-6556","A (IN)AFASTABILIDADE DOS DIREITOS FUNDAMENTAIS NO ÂMBITO DAS RELAÇÕES PRIVADAS.","B4","25256556",NA,NA
"2236-6695","A BARRIGUDA: REVISTA CIENTÍFICA","B3","22366695",NA,NA
"2237-0455","A COMUNICAÇÃO DIALÓGICA ENTRE UNIVERSIDADE E COMUNIDADE","B4","22370455",NA,NA
"1548-7083","A CONTRACORRIENTE (RALEIGH, N.C.)","B3","15487083",NA,NA
"2594-9675","A COR DAS LETRAS","A3","25949675",NA,NA
"1415-8973","A COR DAS LETRAS (UEFS)","A3","14158973",NA,NA
"0011-7641","A DEFESA NACIONAL","B4","117641",NA,NA
"1413-6090","A ECONOMIA EM REVISTA","B3","14136090",NA,NA
"2236-2029","A ECONOMIA EM REVISTA - AERE","B3","22362029",NA,NA
"1983-6422","A FÍSICA NA ESCOLA (IMPRESSO)","B1","19836422",NA,NA
"1557-8100","A JOURNAL OF INTEGRATIVE BIOLOGY","A4","15578100","15362310","15578100"
"2175-2516","A MARGEM: REVISTA ELETRÔNICA DE CIÊNCIAS HUMANAS, LETRAS E ARTES","B3","21752516",NA,NA
"1676-0336","A TERCEIRA IDADE","B4","16760336",NA,NA
"1516-3210","A&C. REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL (IMPRESSO)","A2","15163210",NA,NA
"2448-5764","A&H","B2","24485764",NA,NA
"2362-6089","A&P CONTINUIDAD","A4","23626089",NA,NA
"0094-6354","A.A.N.A. JOURNAL","A3","946354","946354","21625239"
"1559-7776","AACN ADVANCED CRITICAL CARE","B1","15597776","15597768","15597776"
"1232-1966","AAEM. ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE","B3","12321966","12321966","18982263"
"0149-1423","AAPG BULLETIN (PRINT)","A1","1491423","1491423",NA
"1522-1059","AAPS PHARMSCI","A3","15221059",NA,NA
"1530-9932","AAPS PHARMSCITECH","A3","15309932",NA,"15309932"
"0747-0088","ABA JOURNAL","B1","7470088",NA,NA
"0213-6252","ABACO (GIJÓN)","A4","2136252",NA,NA
"0001-3072","ABACUS (SYDNEY. PRINT)","B1","13072","13072","14676281"
"2316-9451","ABAKÓS","B2","23169451",NA,NA
"0102-6720","ABCD. ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA","B1","1026720","1026720","23176326"
"2318-4965","ABCS HEALTH SCIENCES","A3","23184965",NA,NA
"2357-8114","ABCS HEALTH SCIENCES","A3","23578114",NA,NA
"1980-4814","ABCUSTOS (SÃO LEOPOLDO, RS)","B3","19804814",NA,NA
"0942-8925","ABDOMINAL IMAGING","A3","9428925",NA,NA
"2366-0058","ABDOMINAL RADIOLOGY (ONLINE)","B1","23660058","2366004X","23660058"
"2596-0873","ABEÁFRICA","B3","25960873",NA,NA
"2238-3026","ABEHACHE","B3","22383026",NA,NA
"2471-0938","AB-ORIGINAL. JOURNAL OF INDIGENOUS STUDIES AND FIRST NATIONS AND  FIRST PEOPLES' CULTURES","B3","24710938",NA,NA
"1984-2090","ABRIL (NITERÓI)","B3","19842090",NA,NA
"2014-8534","ABRIU: TEXTUALITY STUDIES ON BRAZIL, GALICIA AND PORTUGAL","B1","20148534","20148526","20148534"
"1807-9792","ABSTRACTA : LINGUAGEM, MENTE E AÇÃO (NITERÓI)","B3","18079792",NA,NA
"1012-8255","ACADEMIA (CARACAS)","A3","10128255","10128255","20565127"
"2241-1402","ACADEMIA (ONLINE)","B4","22411402",NA,"22411402"
"2315-7739","ACADEMIA JOURNAL OF AGRICULTURAL RESEARCH","B4","23157739",NA,NA
"1069-6563","ACADEMIC EMERGENCY MEDICINE","A1","10696563","10696563","15532712"
